feature,group,count,group_order,accuracy,error_rate,balanced_accuracy,positive_recall
Elevation_,High,5659,,0.7230959533486482,0.2769040466513518,0.5,0.0
Elevation_,Low,16978,,0.5717398986924255,0.4282601013075745,0.5318201917319592,0.6594580043072505
Elevation_,Medium,16507,,0.5125704246683225,0.4874295753316775,0.5188026402169238,0.10230392742031753
Elevation,"(1114.59, 2299.653]",9165,1870.13419913,0.7963993453355156,0.2036006546644844,0.4878544421846489,0.004219409282700422
Elevation,"(30.865, 672.932]",11369,590.426303855,0.5419122174333715,0.4580877825666285,0.5127709821230613,0.6148056923918993
Elevation,"(672.932, 900.924]",8832,789.984126984,0.5704257246376812,0.42957427536231885,0.584443911098698,0.5367518375918796
Elevation,"(900.924, 1114.59]",9778,1011.72108844,0.3847412558805482,0.6152587441194518,0.5130829956129728,0.09973466520992665
Aspect,"(125.79, 157.05]",10048,138.935369995,0.48298168789808915,0.5170183121019108,0.5403594489860518,0.34141819867140427
Aspect,"(157.05, 235.947]",10549,205.024505996,0.58223528296521,0.41776471703479,0.5550540509417531,0.36801242236024845
Aspect,"(235.947, 309.493]",7512,280.201844986,0.5503194888178914,0.4496805111821086,0.5391299907083632,0.09202621518296013
Aspect,"(43.214000000000006, 125.79]",11035,100.506838533,0.6462165835976439,0.3537834164023561,0.6513856141542902,0.6206361520558572
LUC_majori,"(-0.001, 1.0]",16015,1.0,0.5001561036528255,0.4998438963471745,0.5281499543891774,0.4250638381457474
LUC_majori,"(1.0, 4.0]",9822,4.0,0.5381795968234575,0.4618204031765425,0.5673380833764199,0.3548791405550582
LUC_majori,"(4.0, 5.0]",7997,5.0,0.6297361510566463,0.37026384894335373,0.6259242310426506,0.41569026999490577
LUC_majori,"(5.0, 8.0]",5310,6.0,0.7397363465160075,0.2602636534839925,0.5625674617888189,0.18924731182795698
