feature,mean_rank,rank_std,top_10_frequency
Elevation__Low,1.15,0.3570714214271425,1.0
Elevation,1.85,0.3570714214271425,1.0
Aspect,3.16,0.46303347611160905,1.0
LUC_majori,4.45,0.7262919523166976,1.0
Slope,4.66,0.7901898506055364,1.0
Elevation__High,5.73,0.5450688029964658,1.0
B4_num,7.0,0.0,1.0
NDVI,8.03,0.17058722109231986,1.0
B5_num,8.97,0.17058722109231986,1.0
Elevation__Medium,10.0,0.0,1.0
B3_num,11.32,0.466476151587624,0.0
B11_num,11.68,0.466476151587624,0.0
NDWI,13.34,0.5868560300448484,0.0
B10,14.14,0.7485986908885159,0.0
B1_num,14.53,0.6237788069500279,0.0
